4.947559 1.118 -1.641 3.790 1.094 -1.833 3.583 1.084 -1.867 3.826 1.1097e-05
5.009678 1.118 -1.641 3.791 1.094 -1.833 3.583 1.084 -1.867 3.827 -3.8382e-04
5.073799 1.118 -1.641 3.791 1.094 -1.834 3.586 1.083 -1.869 3.825 8.5201e-05
5.163406 1.117 -1.642 3.790 1.095 -1.835 3.590 1.083 -1.868 3.827 2.6474e-05
5.229290 1.116 -1.641 3.790 1.094 -1.835 3.589 1.083 -1.868 3.829 -2.6125e-04
5.290867 1.116 -1.641 3.791 1.094 -1.834 3.588 1.082 -1.869 3.828 -2.4121e-04
5.354950 1.116 -1.641 3.791 1.093 -1.834 3.587 1.081 -1.869 3.827 -2.4121e-04
5.417870 1.115 -1.641 3.792 1.093 -1.834 3.586 1.081 -1.870 3.826 2.4795e-04
5.481632 1.115 -1.641 3.792 1.093 -1.834 3.586 1.080 -1.869 3.825 1.2659e-04
5.544079 1.115 -1.641 3.791 1.093 -1.834 3.587 1.081 -1.869 3.826 2.1146e-04
5.605667 1.114 -1.641 3.791 1.093 -1.834 3.587 1.081 -1.868 3.828 2.1146e-04
5.697430 1.114 -1.641 3.791 1.094 -1.834 3.587 1.081 -1.867 3.829 2.9043e-04
5.764660 1.114 -1.641 3.791 1.093 -1.833 3.586 1.081 -1.867 3.829 4.3754e-04
5.826855 1.115 -1.642 3.790 1.093 -1.833 3.586 1.081 -1.867 3.828 3.2578e-04
5.890175 1.115 -1.642 3.789 1.094 -1.834 3.587 1.081 -1.868 3.826 8.7292e-05
5.952148 1.115 -1.642 3.788 1.095 -1.836 3.590 1.080 -1.869 3.823 -2.7347e-04
6.014313 1.115 -1.642 3.789 1.095 -1.836 3.590 1.080 -1.870 3.822 -3.5294e-04
6.076431 1.116 -1.642 3.789 1.095 -1.837 3.591 1.080 -1.870 3.821 -2.6800e-04
6.139751 1.116 -1.641 3.790 1.095 -1.837 3.592 1.080 -1.871 3.821 -2.2424e-04
6.228256 1.117 -1.641 3.790 1.095 -1.837 3.592 1.080 -1.871 3.820 -3.7125e-04
6.295300 1.117 -1.641 3.791 1.095 -1.837 3.590 1.080 -1.871 3.820 6.8067e-05
6.357803 1.118 -1.641 3.792 1.095 -1.836 3.589 1.081 -1.871 3.821 1.3231e-05
6.420120 1.118 -1.640 3.793 1.095 -1.836 3.588 1.081 -1.870 3.822 -9.2486e-05
6.483002 1.119 -1.640 3.794 1.095 -1.835 3.588 1.082 -1.870 3.823 -1.8692e-04
6.546635 1.119 -1.640 3.794 1.094 -1.835 3.588 1.082 -1.870 3.823 -2.9308e-04
6.609890 1.119 -1.641 3.793 1.094 -1.835 3.588 1.082 -1.871 3.822 -2.8540e-04
6.673119 1.119 -1.641 3.793 1.094 -1.835 3.588 1.082 -1.872 3.821 -3.0281e-04
6.762058 1.118 -1.642 3.792 1.094 -1.835 3.589 1.081 -1.872 3.819 -1.7556e-04
6.829250 1.117 -1.643 3.791 1.094 -1.834 3.588 1.080 -1.873 3.818 -1.5758e-04
6.892002 1.117 -1.643 3.790 1.093 -1.834 3.587 1.080 -1.874 3.816 1.8366e-05
6.954292 1.117 -1.643 3.791 1.093 -1.834 3.587 1.079 -1.874 3.815 1.8366e-05
7.017750 1.117 -1.642 3.793 1.092 -1.834 3.587 1.079 -1.874 3.816 -2.3434e-04
7.081177 1.116 -1.641 3.794 1.092 -1.833 3.586 1.078 -1.874 3.816 -1.8819e-04
7.144672 1.116 -1.641 3.795 1.092 -1.833 3.586 1.078 -1.874 3.816 -8.4011e-05
7.206573 1.117 -1.640 3.796 1.092 -1.833 3.586 1.078 -1.873 3.817 3.0378e-04
7.296288 1.117 -1.640 3.798 1.091 -1.833 3.585 1.077 -1.873 3.817 4.8839e-04
7.364048 1.117 -1.639 3.799 1.091 -1.831 3.583 1.077 -1.873 3.817 6.5018e-04
7.426182 1.116 -1.638 3.800 1.091 -1.831 3.583 1.076 -1.873 3.817 6.7436e-04
7.489941 1.117 -1.637 3.801 1.090 -1.831 3.583 1.076 -1.873 3.817 5.8227e-04
7.551994 1.117 -1.637 3.802 1.090 -1.831 3.582 1.076 -1.872 3.818 3.6014e-04
7.614830 1.116 -1.637 3.802 1.090 -1.831 3.582 1.076 -1.872 3.818 -1.5574e-04
7.677937 1.117 -1.636 3.803 1.090 -1.831 3.583 1.077 -1.872 3.818 -1.6250e-04
7.740692 1.117 -1.636 3.803 1.090 -1.831 3.583 1.076 -1.871 3.818 -1.6250e-04
7.829025 1.116 -1.636 3.804 1.090 -1.831 3.584 1.076 -1.872 3.818 -1.1380e-04
7.895702 1.116 -1.636 3.805 1.091 -1.832 3.585 1.076 -1.872 3.818 -2.0221e-05
7.957916 1.116 -1.636 3.805 1.091 -1.832 3.586 1.076 -1.872 3.818 1.2931e-05
8.020931 1.116 -1.635 3.805 1.091 -1.833 3.588 1.076 -1.872 3.817 -1.1515e-04
8.082932 1.115 -1.635 3.805 1.091 -1.835 3.590 1.075 -1.872 3.816 -9.3774e-05
8.145267 1.115 -1.636 3.804 1.091 -1.835 3.589 1.074 -1.872 3.815 -4.8299e-04
